year,country,gdp
2020,Mexico,1121064767261.88
2019,Mexico,1304106203694.81
2018,Mexico,1256300182879.73
2017,Mexico,1190721475906
2016,Mexico,1112233497452.7
2015,Mexico,1213294467716.88
2014,Mexico,1364507717614.13
2013,Mexico,1327436290282.67
2012,Mexico,1255110424817.79
2011,Mexico,1229013703416.76
2010,Mexico,1105424238731.09
2009,Mexico,943437415024.633
2008,Mexico,1161553459715.1
2007,Mexico,1102355554971.95
2006,Mexico,1020265057882.01
2005,Mexico,917571853529.104
2004,Mexico,819459227375.022
2003,Mexico,765549967703.273
2002,Mexico,810666116505.478
2001,Mexico,796064590656.176
2000,Mexico,742061329643.37
